Date,Open,High,Low,Close,Adj Close,Volume
2015-10-01,13.565000,16.059999,13.160000,15.850000,15.850000,12075800
2015-11-01,15.910000,16.490000,14.965000,15.920000,15.920000,13160000
2015-12-01,16.030001,16.260000,14.570000,15.300000,15.300000,15803600
2016-01-01,14.755000,14.970000,11.965000,13.670000,13.670000,28178000
2016-02-01,13.510000,14.005000,11.915000,13.560000,13.560000,20948600
2016-03-01,13.765000,15.565000,13.690000,15.390000,15.390000,19951800
2016-04-01,15.195000,16.150000,15.000000,15.445000,15.445000,17159200
2016-05-01,15.535000,16.084999,14.875000,15.955000,15.955000,4594400
2016-06-01,15.815000,16.305000,14.335000,15.825000,15.825000,6103000
2016-07-01,15.975000,17.100000,15.560000,17.090000,17.090000,3087000
2016-08-01,17.000000,17.395000,16.639999,17.065001,17.065001,1977400
2016-09-01,17.030001,17.309999,16.215000,16.965000,16.965000,4206400
2016-10-01,16.865000,16.905001,16.145000,16.325001,16.325001,3869400
2016-11-01,16.344999,17.770000,15.675000,17.504999,17.504999,3833800
2016-12-01,17.540001,18.740000,17.295000,18.120001,18.120001,2586800
2017-01-01,18.375000,19.094999,18.219999,18.709999,18.709999,1783600
2017-02-01,18.860001,20.299999,18.650000,20.195000,20.195000,1645400
2017-03-01,20.500000,20.834999,19.485001,20.235001,20.235001,2692000
2017-04-01,20.209999,20.745001,19.600000,20.514999,20.514999,2462000
2017-05-01,20.590000,21.100000,20.010000,21.004999,21.004999,2486600
2017-06-01,21.075001,21.715000,20.900000,21.195000,21.195000,1926000
2017-07-01,21.370001,22.209999,20.940001,22.025000,22.025000,1370400
2017-08-01,22.090000,22.350000,21.075001,22.014999,22.014999,2565400
2017-09-01,22.120001,22.855000,21.584999,22.855000,22.855000,783600
2017-10-01,22.895000,23.969999,22.895000,23.870001,23.870001,781000
2017-11-01,24.014999,25.434999,23.575001,25.280001,25.280001,1090400
2017-12-01,25.200001,26.174999,24.465000,25.750000,25.750000,2286600
2018-01-01,25.980000,29.584999,25.875000,28.650000,28.650000,4270800
2018-02-01,28.459999,28.850000,22.875000,26.299999,26.299999,9152600
2018-03-01,26.250000,27.940001,23.775000,24.775000,24.775000,4746800
2018-04-01,24.600000,26.110001,23.135000,24.825001,24.825001,3783600
2018-05-01,24.670000,26.525000,23.750000,25.834999,25.834999,2599200
2018-06-01,26.135000,27.455000,25.510000,26.094999,26.094999,2461400
2018-07-01,26.385000,28.459999,25.850000,27.850000,27.850000,1327400
2018-08-01,27.900000,29.820000,27.420000,29.510000,29.510000,1566200
2018-09-01,29.405001,30.264999,28.790001,29.684999,29.684999,1282600
2018-10-01,30.075001,30.225000,23.530001,25.535000,25.535000,9336800
2018-11-01,25.700001,27.485001,23.900000,26.344999,26.344999,6856600
2018-12-01,27.145000,27.145000,18.254999,21.500000,21.500000,19395600
2019-01-01,20.844999,25.000000,20.450001,24.985001,24.985001,8523800
2019-02-01,24.945000,26.945000,24.500000,26.410000,26.410000,4463200
2019-03-01,26.745001,27.820000,25.245001,27.240000,27.240000,4652200
2019-04-01,27.665001,29.455000,27.629999,29.400000,29.400000,2075000
2019-05-01,29.500000,29.549999,25.545000,25.580000,25.580000,4262000
2019-06-01,25.535000,29.605000,25.155001,29.150000,29.150000,2499600
2019-07-01,28.850000,30.790001,28.850000,29.850000,29.850000,2085200
2019-08-01,29.799999,30.459999,26.735001,28.594999,28.594999,3810000
2019-09-01,28.209999,30.490000,27.940001,29.600000,29.600000,2434200
2019-10-01,29.750000,30.955000,27.240000,30.674999,30.674999,2566600
2019-11-01,31.020000,33.264999,31.010000,32.900002,32.900002,1275000
2019-12-01,32.904999,35.154999,31.365000,34.705002,34.705002,1115000
2020-01-01,35.029999,36.955002,34.325001,34.505001,34.505001,1521000
2020-02-01,34.810001,38.180000,26.850000,28.820000,28.820000,2409700
2020-03-01,29.330000,32.950001,14.730000,20.230000,20.230000,16687800
2020-04-01,18.680000,25.980000,18.049999,25.190001,25.190001,18842300
2020-05-01,24.290001,27.910000,22.719999,27.520000,27.520000,17941000
2020-06-01,27.350000,30.959999,25.840000,28.219999,28.219999,18754900
2020-07-01,29.150000,31.530001,28.320000,31.330000,31.330000,4204200
2020-08-01,31.610001,36.180000,31.610001,35.919998,35.919998,1597800
2020-09-01,35.990002,37.700001,29.990000,32.880001,32.880001,6902300
2020-10-01,33.389999,36.270000,30.270000,31.030001,31.030001,4609400
2020-11-01,31.709999,38.750000,31.150000,38.000000,38.000000,5502500
2020-12-01,38.570000,40.830002,38.139999,40.730000,40.730000,5620100
2021-01-01,40.980000,43.150002,38.689999,39.630001,39.630001,6756500
2021-02-01,40.400002,44.900002,39.939999,41.799999,41.799999,4310300
2021-03-01,42.840000,45.709999,39.790001,45.279999,45.279999,6687900
2021-04-01,45.500000,46.310001,45.500000,46.299999,46.299999,114900
2021-04-01,45.500000,46.310001,45.500000,46.299999,46.299999,114850
